127.0.0.1 - - [30/Dec/2023:14:18:08 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:18:09 +0530] "GET /basic-webapp-login/logout HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:18:09 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:18:14 +0530] "GET /basic-webapp-login/ HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:18:14 +0530] "GET /basic-webapp-login/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:18:55 +0530] "GET /basic-webapp-login/login.jsp HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:18:55 +0530] "GET /basic-webapp-login/css/index.css HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:18:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:19:04 +0530] "GET /basic-webapp-login/ HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:19:07 +0530] "GET /basic-webapp-login/login.jsp HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:19:10 +0530] "POST /basic-webapp-login/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:19:26 +0530] "GET /basic-webapp-login/logout HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:19:30 +0530] "GET /basic-webapp-login/ HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:19:32 +0530] "GET /basic-webapp-login/login.jsp HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:19:34 +0530] "POST /basic-webapp-login/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:21:32 +0530] "GET /basic-webapp-login/login.jsp HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:21:32 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:21:36 +0530] "POST /basic-webapp-login/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:22:02 +0530] "GET /basic-webapp-login/login.jsp HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:22:06 +0530] "POST /basic-webapp-login/login HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:22:06 +0530] "GET /basic-webapp-login/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:22:07 +0530] "POST /basic-webapp-login/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Dec/2023:14:22:08 +0530] "GET /basic-webapp-login/login.jsp HTTP/1.1" 200 1029
